Original Order,RHOS Name,VM ID,ASMS,GM Cutover Sequence,Sub Group,Environment,OS,Plan Name,Target Namespace,Target Storage,Cold or Warm,Keep IP,Sync Time 
1,ubuntu-demo-01,vm-31968,1,group-1,1,prod,Ubuntu Linux (64-bit),hookstest,linux-ns30,lvms-vg1,warm,yes,2025-07-17 15:37:00
2,win-demo-02,vm-32070,2,group-2,1,prod,Microsoft Windows Server 2019 (64-bit),hookstest,win-ns30,lvms-vg1,warm,yes,2025-07-17 15:37:30
3,rhel-8,vm-30818,1,group-1,1,prod,Red Hat Enterprise Linux 8 (64-bit),hookstest,rhelns01,lvms-vg1,cold,yes,2025-06-25 10:30:00
